run_idx,scenario_name,pv_penetration,ambient_delta_c,load_growth_pct,peak_theta_hs_c,mean_theta_hs_c,lol_percent_annual,lol_hours_annual,hours_above_110c,hours_above_120c,reverse_flow_hours,peak_net_load_pu,mean_f_aa,battery_lifetime_fraction,dispatch_method
0,pv75_battery5mwh_today,0.75,0.0,0.0,84.59469604492188,53.07318669420579,0.027119590721211333,48.8152632981804,0.0,0.0,590.0,0.8872581751022743,0.005572518641344794,0.007925481003355946,threshold
1,pv75_battery5mwh_today,0.75,0.0,0.0,85.09809112548828,52.98543204519106,0.027032757040492933,48.658962672887284,0.0,0.0,634.0,0.8769634774477213,0.0055546761042108775,0.007955242079922898,threshold
2,pv75_battery5mwh_today,0.75,0.0,0.0,84.22454833984375,53.034342938168535,0.027515629469492313,49.528133045086165,0.0,0.0,684.0,0.8864862132826008,0.005653896466334036,0.008178211477638484,threshold
3,pv75_battery5mwh_today,0.75,0.0,0.0,84.64534759521484,53.05373379378567,0.027255746784881258,49.06034421278626,0.0,0.0,630.0,0.9050212957283144,0.005600495914701628,0.0081783051732926,threshold
4,pv75_battery5mwh_today,0.75,0.0,0.0,84.5616455078125,53.01971981767162,0.02715189903200251,48.87341825760452,0.0,0.0,622.0,0.8984137868581473,0.005579157335342981,0.007829615873950093,threshold
5,pv75_battery5mwh_today,0.75,0.0,0.0,84.53539276123047,53.19912361534906,0.027345698498964448,49.22225729813601,0.0,0.0,590.0,0.9052253516514905,0.005618979143622832,0.00767557363253272,threshold
6,pv75_battery5mwh_today,0.75,0.0,0.0,84.85726928710938,53.08134552378749,0.02700193003521472,48.6034740633865,0.0,0.0,630.0,0.8740217532429648,0.0055483417880578196,0.00831854605830442,threshold
7,pv75_battery5mwh_today,0.75,0.0,0.0,84.51811981201172,53.057826851494355,0.027141516548046717,48.85472978648409,0.0,0.0,642.0,0.8987558878932589,0.005577023948228777,0.008704628247235512,threshold
8,pv75_battery5mwh_today,0.75,0.0,0.0,85.03772735595703,53.0096826439351,0.02736667625275048,49.26001725495086,0.0,0.0,657.0,0.8812058650040817,0.0056232896409761255,0.007976013497811747,threshold
9,pv75_battery5mwh_today,0.75,0.0,0.0,84.65653991699219,53.10864518289881,0.02723028427893564,49.01451170208415,0.0,0.0,643.0,0.8811009847858017,0.0055952638929319815,0.009029136904227037,threshold
10,pv75_battery5mwh_today,0.75,0.0,0.0,84.60487365722656,53.0970369542499,0.027548534534582655,49.58736216224878,0.0,0.0,629.0,0.889774186057652,0.0056606577810786275,0.008254010575738142,threshold
11,pv75_battery5mwh_today,0.75,0.0,0.0,85.46949768066406,52.986008714775636,0.027482987027611813,49.46937664970126,0.0,0.0,646.0,0.8812016431661247,0.005647189115262701,0.008946695096470659,threshold
12,pv75_battery5mwh_today,0.75,0.0,0.0,84.34162902832031,52.92026968664232,0.02719767439635086,48.95581391343155,0.0,0.0,670.0,0.8747950653992607,0.005588563232126889,0.007713109962422618,threshold
13,pv75_battery5mwh_today,0.75,0.0,0.0,84.33605194091797,53.05011097343205,0.02735841904975146,49.24515428955262,0.0,0.0,630.0,0.8905781664637183,0.005621592955428381,0.00846231192258709,threshold
14,pv75_battery5mwh_today,0.75,0.0,0.0,84.69197082519531,53.047895181493224,0.027162730417399125,48.89291475131843,0.0,0.0,626.0,0.8827508763552837,0.005581382962479272,0.008512371974221836,threshold
15,pv75_battery5mwh_today,0.75,0.0,0.0,85.06906127929688,52.95508510208874,0.027356802804306198,49.242245047751155,0.0,0.0,678.0,0.9108360280478482,0.005621260850199904,0.008123747585680885,threshold
16,pv75_battery5mwh_today,0.75,0.0,0.0,84.74784088134766,53.00474569516014,0.027692798625776643,49.847037526397955,0.0,0.0,671.0,0.8877286327938818,0.005690301087488351,0.009277568920239909,threshold
17,pv75_battery5mwh_today,0.75,0.0,0.0,84.44861602783203,53.076428454668445,0.02760754445124069,49.69358001223324,0.0,0.0,667.0,0.8880498438090154,0.005672783106419319,0.008606937561892002,threshold
18,pv75_battery5mwh_today,0.75,0.0,0.0,84.40641784667969,52.95346618958808,0.027261003980983023,49.06980716576945,0.0,0.0,647.0,0.8923879931215676,0.005601576160475964,0.0078095857475298245,threshold
19,pv75_battery5mwh_today,0.75,0.0,0.0,84.75157165527344,53.09130714192583,0.027420960027426094,49.35772804936697,0.0,0.0,644.0,0.8890943694089397,0.005634443841251937,0.007841426261510062,threshold
20,pv75_battery5mwh_today,0.75,0.0,0.0,84.88785552978516,52.95393868047503,0.027199820824529625,48.959677484153325,0.0,0.0,658.0,0.8737517617397144,0.005589004279012937,0.008271696537519382,threshold
21,pv75_battery5mwh_today,0.75,0.0,0.0,83.97229766845703,52.92881416049499,0.02736905455267241,49.26429819481034,0.0,0.0,672.0,0.8855793377505272,0.005623778332740906,0.008243046289360345,threshold
22,pv75_battery5mwh_today,0.75,0.0,0.0,84.107177734375,52.927764948177355,0.027054191088050548,48.69754395849098,0.0,0.0,661.0,0.9023635140827518,0.005559080360558332,0.008505199237696735,threshold
23,pv75_battery5mwh_today,0.75,0.0,0.0,84.53819274902344,53.13668140874909,0.027664447001986097,49.79600460357497,0.0,0.0,625.0,0.8878351055188742,0.005684475411367006,0.008345702088756098,threshold
24,pv75_battery5mwh_today,0.75,0.0,0.0,84.368896484375,53.077356081209565,0.02715060675893709,48.87109216608677,0.0,0.0,633.0,0.8840063573360537,0.005578891799781594,0.007855570958419865,threshold
25,pv75_battery5mwh_today,0.75,0.0,0.0,84.82969665527344,53.09816825111464,0.027380815671715245,49.28546820908744,0.0,0.0,637.0,0.8934926703709967,0.005626195001037379,0.009183047616194935,threshold
26,pv75_battery5mwh_today,0.75,0.0,0.0,84.26473999023438,53.064437371689436,0.02730124842544302,49.14224716579744,0.0,0.0,627.0,0.8845606993327901,0.005609845566871854,0.008109365703283473,threshold
27,pv75_battery5mwh_today,0.75,0.0,0.0,84.86726379394531,52.93640911558484,0.026851372372083068,48.33247026974952,0.0,0.0,667.0,0.9024736385425469,0.005517405281934877,0.008141995408571176,threshold
28,pv75_battery5mwh_today,0.75,0.0,0.0,84.58920288085938,53.054374406806105,0.02745774586095589,49.4239425497206,0.0,0.0,624.0,0.9226205380555729,0.005642002574169018,0.00810299713792411,threshold
29,pv75_battery5mwh_today,0.75,0.0,0.0,84.59305572509766,52.97375624548001,0.027132931614909903,48.839276906837824,0.0,0.0,678.0,0.9115223085519507,0.005575259920871898,0.007501404038088683,threshold
30,pv75_battery5mwh_today,0.75,0.0,0.0,84.56523132324219,53.097126809592275,0.027488900960185858,49.48002172833455,0.0,0.0,587.0,0.8996265489111839,0.005648404306887505,0.007907563528808495,threshold
31,pv75_battery5mwh_today,0.75,0.0,0.0,84.25421142578125,53.141698022165855,0.02745560035391505,49.420080637047086,0.0,0.0,635.0,0.884585384382795,0.0056415617165578875,0.00844436835066703,threshold
32,pv75_battery5mwh_today,0.75,0.0,0.0,85.13428497314453,53.09782180433281,0.027424965223377496,49.3649374020795,0.0,0.0,631.0,0.8787238040827802,0.005635266826721404,0.007615000282729538,threshold
33,pv75_battery5mwh_today,0.75,0.0,0.0,84.71800231933594,53.04341828331896,0.027303556514009744,49.146401725217544,0.0,0.0,640.0,0.892895787304262,0.005610319831645838,0.008513982467641804,threshold
34,pv75_battery5mwh_today,0.75,0.0,0.0,84.98329162597656,52.986475031899694,0.027226356610689423,49.007441899240966,0.0,0.0,657.0,0.8876804309461468,0.005594456837812896,0.007729407088077542,threshold
35,pv75_battery5mwh_today,0.75,0.0,0.0,84.43665313720703,53.019484909877875,0.027088198674425405,48.758757613965734,0.0,0.0,601.0,0.8820148354014199,0.0055660682207723435,0.007406567718469705,threshold
